"","Player_ID","Team_ID","Season"
"1",27736,4672,2010
"2",35806,16,2010
"3",100768,1504,2010
"4",104275,1561,2010
"5",104297,1561,2010
"6",104375,1561,2010
"7",104378,1561,2010
"8",104380,1561,2010
"9",104381,1561,2010
"10",104383,1561,2010
"11",116180,1504,2010
"12",117950,2384,2010
"13",117974,26,2010
"14",117987,1504,2010
"15",118005,1117,2010
"16",118030,4673,2010
"17",118031,4673,2010
"18",118038,1561,2010
"19",118040,1561,2010
"20",118041,1561,2010
"21",3431,1504,2010
"22",27543,4672,2010
"23",77123,17,2010
"24",83414,1504,2010
"25",94031,1504,2010
"26",98981,1531,2010
"27",99033,1531,2010
"28",99042,1531,2010
"29",104288,1561,2010
"30",104373,1561,2010
"31",104382,1561,2010
"32",104655,1504,2010
"33",114855,19,2010
"34",115421,1504,2010
"35",117954,1531,2010
"36",117973,19,2010
"37",118003,1531,2010
"38",118010,19,2010
"39",118042,1561,2010
"40",118043,1561,2010
"41",191,1504,2010
"42",377,7,2010
"43",1112,4672,2010
"44",27548,4672,2010
"45",34401,17,2010
"46",34649,17,2010
"47",35516,16,2010
"48",46716,1504,2010
"49",50820,2384,2010
"50",51089,4672,2010
"51",55522,19,2010
"52",80973,17,2010
"53",99633,17,2010
"54",104179,1561,2010
"55",104274,1561,2010
"56",104374,1561,2010
"57",114797,19,2010
"58",117981,17,2010
"59",117982,17,2010
"60",117984,2384,2010
"61",32,7,2010
"62",30452,2380,2010
"63",44837,2384,2010
"64",46332,1531,2010
"65",51779,7,2010
"66",70813,2380,2010
"67",70837,2380,2010
"68",90513,1531,2010
"69",90675,19,2010
"70",95406,7,2010
"71",99054,1531,2010
"72",99382,17,2010
"73",101829,7,2010
"74",104323,17,2010
"75",110999,19,2010
"76",114291,1531,2010
"77",114960,2384,2010
"78",117980,17,2010
"79",117985,1504,2010
"80",117999,2380,2010
"81",6514,2380,2010
"82",27526,4672,2010
"83",27535,4672,2010
"84",35647,16,2010
"85",50835,2384,2010
"86",70555,2380,2010
"87",70754,2380,2010
"88",70761,2380,2010
"89",80379,7,2010
"90",95283,2380,2010
"91",95377,2380,2010
"92",103219,2384,2010
"93",105776,2380,2010
"94",113997,7,2010
"95",117091,2380,2010
"96",117957,2380,2010
"97",117983,2384,2010
"98",117989,16,2010
"99",117993,16,2010
"100",118045,4672,2010
"101",38886,4673,2010
"102",46211,4673,2010
"103",51079,4672,2010
"104",88748,1504,2010
"105",105378,2384,2010
"106",105403,4672,2010
"107",105412,2384,2010
"108",105420,2384,2010
"109",105421,2384,2010
"110",113823,2384,2010
"111",115976,2384,2010
"112",117940,4672,2010
"113",117955,16,2010
"114",117959,4673,2010
"115",117960,4672,2010
"116",117961,4672,2010
"117",117971,4672,2010
"118",117990,16,2010
"119",118033,4673,2010
"120",118035,4673,2010
"121",2365,1117,2010
"122",26799,1117,2010
"123",36006,16,2010
"124",70599,2380,2010
"125",80957,19,2010
"126",87166,19,2010
"127",88681,1117,2010
"128",91269,1117,2010
"129",105371,16,2010
"130",115049,1504,2010
"131",115337,1117,2010
"132",117939,1117,2010
"133",117941,1117,2010
"134",117958,4673,2010
"135",118004,1117,2010
"136",118006,1117,2010
"137",118027,4673,2010
"138",118028,4673,2010
"139",118029,4673,2010
"140",118032,4673,2010
"141",254,768,2010
"142",1599,1117,2010
"143",15376,1117,2010
"144",30463,768,2010
"145",30771,768,2010
"146",30941,768,2010
"147",91398,768,2010
"148",91419,768,2010
"149",91469,768,2010
"150",105229,1117,2010
"151",105405,768,2010
"152",113873,1117,2010
"153",114780,1117,2010
"154",114902,1117,2010
"155",115079,768,2010
"156",115141,768,2010
"157",115352,768,2010
"158",115361,768,2010
"159",115378,768,2010
"160",118025,768,2010
"161",160,1118,2010
"162",516,1118,2010
"163",551,1118,2010
"164",779,768,2010
"165",18756,1118,2010
"166",36979,1118,2010
"167",37162,1118,2010
"168",49852,1118,2010
"169",50808,1118,2010
"170",71266,1118,2010
"171",72157,1118,2010
"172",114786,1118,2010
"173",115077,1118,2010
"174",115094,1118,2010
"175",116198,1118,2010
"176",117953,1118,2010
"177",117979,7,2010
"178",117986,1504,2010
"179",118000,1531,2010
"180",118008,19,2010
"181",1905,27,2010
"182",2673,27,2010
"183",31015,27,2010
"184",37112,27,2010
"185",41176,27,2010
"186",41439,27,2010
"187",41877,27,2010
"188",104838,27,2010
"189",104839,27,2010
"190",114592,27,2010
"191",114659,27,2010
"192",114800,27,2010
"193",114828,27,2010
"194",115957,14,2010
"195",116294,1118,2010
"196",116497,27,2010
"197",116663,27,2010
"198",116873,27,2010
"199",117019,27,2010
"200",118017,14,2010
"201",108,9,2010
"202",185,9,2010
"203",359,14,2010
"204",634,9,2010
"205",1200,14,2010
"206",1416,14,2010
"207",2230,14,2010
"208",21099,1091,2010
"209",30738,1091,2010
"210",48385,14,2010
"211",80203,1091,2010
"212",89024,14,2010
"213",98509,14,2010
"214",105573,1091,2010
"215",113675,14,2010
"216",114776,1091,2010
"217",114862,19,2010
"218",115300,14,2010
"219",115956,1504,2010
"220",116792,14,2010
"221",367,9,2010
"222",940,15,2010
"223",1444,15,2010
"224",1816,15,2010
"225",30805,15,2010
"226",35675,16,2010
"227",90521,9,2010
"228",90657,9,2010
"229",91736,15,2010
"230",92714,16,2010
"231",104780,15,2010
"232",105653,9,2010
"233",113815,15,2010
"234",116880,9,2010
"235",116941,9,2010
"236",117951,16,2010
"237",117962,16,2010
"238",117969,15,2010
"239",117970,15,2010
"240",117978,15,2010
"241",1458,25,2010
"242",26314,25,2010
"243",33290,12,2010
"244",33351,1561,2010
"245",33782,12,2010
"246",35583,16,2010
"247",39108,16,2010
"248",53843,1561,2010
"249",90642,25,2010
"250",91639,12,2010
"251",91964,12,2010
"252",93990,1118,2010
"253",101815,7,2010
