"","id","name","logo","output$form","output$league$season","played.home","played.away","played.total","wins.home","wins.away","wins.total","draws.home","draws.away","draws.total","loses.home","loses.away","loses.total","home","away","total","home","away","total"
"62",768,"Italy","https://media.api-sports.io/football/teams/768.png","DDWDWL",2012,2,4,6,1,1,2,1,2,3,0,1,1,3,3,6,1,6,7
"63",21,"Denmark","https://media.api-sports.io/football/teams/21.png","WLL",2012,2,1,3,0,1,1,0,0,0,2,0,2,3,1,4,5,0,5
"64",10,"England","https://media.api-sports.io/football/teams/10.png","DWWD",2012,2,2,4,1,1,2,1,1,2,0,0,0,1,4,5,0,3,3
"65",24,"Poland","https://media.api-sports.io/football/teams/24.png","DDL",2012,2,1,3,0,0,0,2,0,2,0,1,1,2,0,2,2,1,3
"66",1118,"Netherlands","https://media.api-sports.io/football/teams/1118.png","LLL",2012,2,1,3,0,0,0,0,0,0,2,1,3,1,1,2,3,2,5
"67",2,"France","https://media.api-sports.io/football/teams/2.png","DWLL",2012,1,3,4,0,1,1,1,0,1,0,2,2,1,2,3,1,4,5
"68",772,"Ukraine","https://media.api-sports.io/football/teams/772.png","WLL",2012,2,1,3,1,0,1,0,0,0,1,1,2,2,0,2,3,1,4
"69",27,"Portugal","https://media.api-sports.io/football/teams/27.png","LWWWD",2012,2,3,5,1,2,3,1,0,1,0,1,1,2,4,6,1,3,4
"70",770,"Czech Republic","https://media.api-sports.io/football/teams/770.png","LWWL",2012,2,2,4,1,1,2,0,0,0,1,1,2,1,3,4,1,5,6
"71",25,"Germany","https://media.api-sports.io/football/teams/25.png","WDWWDL",2016,5,1,6,2,1,3,2,0,2,1,0,1,6,1,7,3,0,3
"72",769,"Hungary","https://media.api-sports.io/football/teams/769.png","WDDL",2016,2,2,4,0,1,1,1,1,2,1,0,1,3,3,6,7,1,8
"73",15,"Switzerland","https://media.api-sports.io/football/teams/15.png","WDDD",2016,2,2,4,0,1,1,2,1,3,0,0,0,1,2,3,1,1,2
"74",9,"Spain","https://media.api-sports.io/football/teams/9.png","WWLL",2016,2,2,4,2,0,2,0,0,0,0,2,2,4,1,5,0,4,4
"75",3,"Croatia","https://media.api-sports.io/football/teams/3.png","WDWL",2016,2,2,4,1,1,2,0,1,1,1,0,1,2,3,5,2,2,4
"76",768,"Italy","https://media.api-sports.io/football/teams/768.png","WWLWD",2016,3,2,5,2,1,3,0,1,1,1,0,1,3,3,6,1,1,2
"77",778,"Albania","https://media.api-sports.io/football/teams/778.png","LLW",2016,1,2,3,0,1,1,0,0,0,1,1,2,0,1,1,1,2,3
"78",10,"England","https://media.api-sports.io/football/teams/10.png","DWDL",2016,3,1,4,1,0,1,1,1,2,1,0,1,4,0,4,4,0,4
"79",24,"Poland","https://media.api-sports.io/football/teams/24.png","WDWDD",2016,2,3,5,1,1,2,1,2,3,0,0,0,2,2,4,1,1,2
"80",775,"Austria","https://media.api-sports.io/football/teams/775.png","LDL",2016,1,2,3,0,0,0,0,1,1,1,1,2,0,1,1,2,2,4
"81",2,"France","https://media.api-sports.io/football/teams/2.png","WWDWWWL",2016,4,3,7,4,1,5,0,1,1,0,1,1,11,2,13,4,1,5
"82",1,"Belgium","https://media.api-sports.io/football/teams/1.png","LWWWL",2016,2,3,5,1,2,3,0,0,0,1,1,2,3,6,9,2,3,5
"83",773,"Slovakia","https://media.api-sports.io/football/teams/773.png","LWDL",2016,1,3,4,0,1,1,1,0,1,0,2,2,0,3,3,0,6,6
"84",774,"Romania","https://media.api-sports.io/football/teams/774.png","LDL",2016,2,1,3,0,0,0,1,0,1,1,1,2,1,1,2,2,2,4
"85",772,"Ukraine","https://media.api-sports.io/football/teams/772.png","LLL",2016,2,1,3,0,0,0,0,0,0,2,1,3,0,0,0,3,2,5
"86",777,"Turkey","https://media.api-sports.io/football/teams/777.png","LLW",2016,1,2,3,0,1,1,0,0,0,1,1,2,0,2,2,1,3,4
"87",27,"Portugal","https://media.api-sports.io/football/teams/27.png","DDDWDWW",2016,4,3,7,2,1,3,2,2,4,0,0,0,4,5,9,1,4,5
"88",770,"Czech Republic","https://media.api-sports.io/football/teams/770.png","LDL",2016,2,1,3,0,0,0,1,0,1,1,1,2,2,0,2,4,1,5
